总序号,类别,分组,组内序号,单词/短语,音标,同替词,中文释义,来源链接
203,3,2,33,established,/ɪˈstæblɪʃt/,built,adj. 确定的；已制定的，已建立的,https://www.guixue.com/apps/word/corpus/10176/21943/1
204,3,2,34,estate,/ɪˈsteɪt/,property,n. 房地产,https://www.guixue.com/apps/word/corpus/10176/21943/1
205,3,2,35,ethical,/ˈeθɪk(ə)l/,moral,adj.道德的,https://www.guixue.com/apps/word/corpus/10176/21943/1
206,3,2,36,eventually,/ɪˈventʃuəli/,finally,adv.最后，终于,https://www.guixue.com/apps/word/corpus/10176/21943/1
207,3,2,37,evidence,/ˈevɪdəns/,proof,"n. 证据,迹象",https://www.guixue.com/apps/word/corpus/10176/21943/1
208,3,2,38,evolve,/ɪˈvɒlv/,develop,v.进化，发展；逐渐形成,https://www.guixue.com/apps/word/corpus/10176/21943/1
209,3,2,39,exhausted,/ɪɡˈzɔːstɪd/,fatigue,adj. 疲惫的，耗尽的,https://www.guixue.com/apps/word/corpus/10176/21943/1
210,3,2,40,exceptional,/ɪkˈsepʃən(ə)l/,extreme；utmost,adj. 异常的，例外的，特别出色的,https://www.guixue.com/apps/word/corpus/10176/21943/1
211,3,2,41,experiment,/ɪkˈsperɪmənt/,test,n.实验；试验,https://www.guixue.com/apps/word/corpus/10176/21943/1
212,3,2,42,explicit,/ɪkˈsplɪsɪt/,clear,adj.明确的,https://www.guixue.com/apps/word/corpus/10176/21943/1
213,3,2,43,exploit,/ɪkˈsplɔɪt/,use,v.开发，利用,https://www.guixue.com/apps/word/corpus/10176/21943/1
214,3,2,44,extend,/ɪkˈstend/,expand,v.扩展，延伸，推广,https://www.guixue.com/apps/word/corpus/10176/21943/1
215,3,2,45,extract,/ˈekstrækt; ɪkˈstrækt/,quotation,n.摘录 v.提取,https://www.guixue.com/apps/word/corpus/10176/21943/1
216,3,2,46,famine,/ˈfæmɪn/,hunger,n.饥荒,https://www.guixue.com/apps/word/corpus/10176/21943/1
217,3,2,47,finite,/ˈfaɪnaɪt/,limited,adj.有限的,https://www.guixue.com/apps/word/corpus/10176/21943/1
218,3,2,48,fitness,/ˈfɪtnəs/,health,n.健康,https://www.guixue.com/apps/word/corpus/10176/21943/1
219,3,2,49,foe,/fəʊ/,enemy,n.敌人，危害物,https://www.guixue.com/apps/word/corpus/10176/21943/1
220,3,2,50,format,/ˈfɔːmæt/,structure,n.格式,https://www.guixue.com/apps/word/corpus/10176/21943/1
221,3,3,1,fragment,/ˈfræɡmənt/,piece,n.碎片,https://www.guixue.com/apps/word/corpus/10176/21944/1
222,3,3,2,freeze,/friːz/,chill,n.冰冻，冻结,https://www.guixue.com/apps/word/corpus/10176/21944/1
223,3,3,3,fulfill,/fʊlˈfɪl/,execute,v.满足，实现,https://www.guixue.com/apps/word/corpus/10176/21944/1
224,3,3,4,gene,/dʒiːn/,factor,n.基因,https://www.guixue.com/apps/word/corpus/10176/21944/1
225,3,3,5,gifted,/ˈɡɪftɪd/,talented,adj.有天赋的，有才华的,https://www.guixue.com/apps/word/corpus/10176/21944/1
226,3,3,6,graphic,/ˈɡræfɪk/,picture,adj. 形象的；图解的,https://www.guixue.com/apps/word/corpus/10176/21944/1
227,3,3,7,habitat,/ˈhæbɪtæt/,residence,n. 栖息地，住所,https://www.guixue.com/apps/word/corpus/10176/21944/1
228,3,3,8,harbour,/ˈhɑːbə(r)/,hold,v.怀有 n.海港,https://www.guixue.com/apps/word/corpus/10176/21944/1
229,3,3,9,hardship,/ˈhɑːdʃɪp/,difficult,n.困苦；苦难,https://www.guixue.com/apps/word/corpus/10176/21944/1
230,3,3,10,harsh,/hɑːʃ/,rough,adj.艰难的；严酷的,https://www.guixue.com/apps/word/corpus/10176/21944/1
231,3,3,11,hypothesis,/haɪˈpɒθəsɪs/,assumption,n.假设,https://www.guixue.com/apps/word/corpus/10176/21944/1
232,3,3,12,impact,/ˈɪmpækt/,influence,n.影响,https://www.guixue.com/apps/word/corpus/10176/21944/1
233,3,3,13,impressive,/ɪmˈpresɪv/,touching,adj.感人的；给人深刻印象的,https://www.guixue.com/apps/word/corpus/10176/21944/1
234,3,3,14,in accordance with,,conform,依照；与…一致,https://www.guixue.com/apps/word/corpus/10176/21944/1
235,3,3,15,inaccurate,/ɪnˈækjərət/,incorrect,adj.错误的,https://www.guixue.com/apps/word/corpus/10176/21944/1
236,3,3,16,inactive,/ɪnˈæktɪv/,passive,adj.不活跃的，不活动的,https://www.guixue.com/apps/word/corpus/10176/21944/1
237,3,3,17,inappropriate,/ˌɪnəˈprəʊpriət/,hard,adj. 不适当的,https://www.guixue.com/apps/word/corpus/10176/21944/1
238,3,3,18,indulge,/ɪnˈdʌldʒ/,spoil,v.沉溺（于）,https://www.guixue.com/apps/word/corpus/10176/21944/1
239,3,3,19,infest,/ɪnˈfest/,plague,v. 侵害；寄生于,https://www.guixue.com/apps/word/corpus/10176/21944/1
240,3,3,20,installment,/ɪnˈstɔːlmənt/,payment on its completion,n.安装；分期付款,https://www.guixue.com/apps/word/corpus/10176/21944/1
241,3,3,21,intelligence,/ɪnˈtelɪdʒəns/,mind,n.智力,https://www.guixue.com/apps/word/corpus/10176/21944/1
242,3,3,22,intense,/ɪnˈtens/,strong,adj.强烈的；紧张的； 热情的,https://www.guixue.com/apps/word/corpus/10176/21944/1
243,3,3,23,interaction,/ˌɪntərˈækʃ(ə)n/,social activities,n.相互作用；交流互动,https://www.guixue.com/apps/word/corpus/10176/21944/1
244,3,3,24,interference,/ˌɪntəˈfɪərəns/,interdependence,n.干涉，干预,https://www.guixue.com/apps/word/corpus/10176/21944/1
245,3,3,25,interior,/ɪnˈtɪəriə(r)/,inner,n.内部 adj.内部的,https://www.guixue.com/apps/word/corpus/10176/21944/1
246,3,3,26,interrupt,/ˌɪntəˈrʌpt/,stop,v.中断,https://www.guixue.com/apps/word/corpus/10176/21944/1
247,3,3,27,introverted,/ˈɪntrəvɜːtɪd/,shyness,"adj. 内向的,含蓄的",https://www.guixue.com/apps/word/corpus/10176/21944/1
248,3,3,28,involve,/ɪnˈvɒlv/,associate,v.包含，牵涉,https://www.guixue.com/apps/word/corpus/10176/21944/1
249,3,3,29,keen,/kiːn/,strong,adj.热切的；强迫的， 强烈的,https://www.guixue.com/apps/word/corpus/10176/21944/1
250,3,3,30,label,/ˈleɪb(ə)l/,display,v.打上标签,https://www.guixue.com/apps/word/corpus/10176/21944/1
251,3,3,31,lack,/læk/,shortage,v.缺乏；不足,https://www.guixue.com/apps/word/corpus/10176/21944/1
252,3,3,32,landscape,/ˈlændskeɪp/,scene,n.风景,https://www.guixue.com/apps/word/corpus/10176/21944/1
253,3,3,33,likelihood,/ˈlaɪklihʊd/,chance,n. 可能性,https://www.guixue.com/apps/word/corpus/10176/21944/1
254,3,3,34,limb,/lɪm/,arm or leg,n.四肢,https://www.guixue.com/apps/word/corpus/10176/21944/1
255,3,3,35,linguistic,/lɪŋˈɡwɪstɪk/,language,adj. 语言（学）的,https://www.guixue.com/apps/word/corpus/10176/21944/1
256,3,3,36,log,/lɒɡ/,record,v. 记录  n.原木，木料,https://www.guixue.com/apps/word/corpus/10176/21944/1
257,3,3,37,look-in,/ˈlʊk ɪn/,opportunity；chance,n. 成功的机会,https://www.guixue.com/apps/word/corpus/10176/21944/1
258,3,3,38,lopsided,/ˌlɒpˈsaɪdɪd/,uneven,adj. 不平衡的,https://www.guixue.com/apps/word/corpus/10176/21944/1
259,3,3,39,mainly,/ˈmeɪnli/,primarily,adv.主要的，大体的,https://www.guixue.com/apps/word/corpus/10176/21944/1
260,3,3,40,malfunction,/ˌmælˈfʌŋkʃ(ə)n/,breakdown,v.发生故障；不起作用,https://www.guixue.com/apps/word/corpus/10176/21944/1
261,3,3,41,mammal,/ˈmæm(ə)l/,creature,n.哺乳动物,https://www.guixue.com/apps/word/corpus/10176/21944/1
262,3,3,42,manage to do,/ˈmænɪdʒ tu duː/,success,设法完成某事,https://www.guixue.com/apps/word/corpus/10176/21944/1
263,3,3,43,manifest,/ˈmænɪfest/,obvious,v.出现，表现,https://www.guixue.com/apps/word/corpus/10176/21944/1
264,3,3,44,manufacture,/ˌmænjuˈfæktʃə(r)/,produce,n.生产,https://www.guixue.com/apps/word/corpus/10176/21944/1
265,3,3,45,marine,/məˈriːn/,sea,adj.海产的；航海的；海运的,https://www.guixue.com/apps/word/corpus/10176/21944/1
266,3,3,46,mate,/meɪt/,spouse,n.配偶,https://www.guixue.com/apps/word/corpus/10176/21944/1
267,3,3,47,mechanism,/ˈmekənɪzəm/,method,n.机制；原理,https://www.guixue.com/apps/word/corpus/10176/21944/1
268,3,3,48,mental,/ˈment(ə)l/,intelligent,adj. 心理的；精神的,https://www.guixue.com/apps/word/corpus/10176/21944/1
269,3,3,49,mercury,/ˈmɜːkjəri/,liquid metal,n.汞，水银,https://www.guixue.com/apps/word/corpus/10176/21944/1
270,3,3,50,meteorological,/ˌmiːtiərəˈlɒdʒɪk(ə)l/,weather,adj. 气象学的,https://www.guixue.com/apps/word/corpus/10176/21944/1
271,3,4,1,migrate,/maɪˈɡreɪt/,move,"v.转移,迁移",https://www.guixue.com/apps/word/corpus/10176/21945/1
272,3,4,2,moisture,/ˈmɔɪstʃə(r)/,humidity,n.水分，湿度,https://www.guixue.com/apps/word/corpus/10176/21945/1
273,3,4,3,monitor,/ˈmɒnɪtə(r)/,surveillance,v.监控,https://www.guixue.com/apps/word/corpus/10176/21945/1
274,3,4,4,motif,/məʊˈtiːf/,theme,n. 主题；图形,https://www.guixue.com/apps/word/corpus/10176/21945/1
275,3,4,5,mould,/məʊld/,form,v.模压，塑造；塑造成,https://www.guixue.com/apps/word/corpus/10176/21945/1
276,3,4,6,native,/ˈneɪtɪv/,original,adj.本国的，土著的；天然的；天赋的,https://www.guixue.com/apps/word/corpus/10176/21945/1
277,3,4,7,nocturnal,/nɒkˈtɜːn(ə)l/,night,"adj.夜间的,夜间发生的",https://www.guixue.com/apps/word/corpus/10176/21945/1
278,3,4,8,norm,/nɔːm/,regulation,n.规范,https://www.guixue.com/apps/word/corpus/10176/21945/1
279,3,4,9,notoriety,/ˌnəʊtəˈraɪəti/,famous,n.名声,https://www.guixue.com/apps/word/corpus/10176/21945/1
280,3,4,10,objective,/əbˈdʒektɪv/,goal,n.目标，目的 adj.客观的,https://www.guixue.com/apps/word/corpus/10176/21945/1
281,3,4,11,obligation,/ˌɒblɪˈɡeɪʃ(ə)n/,responsibility,n.义务,https://www.guixue.com/apps/word/corpus/10176/21945/1
282,3,4,12,obscure,/əbˈskjʊə(r)/,hide,v.掩盖，使模糊不清,https://www.guixue.com/apps/word/corpus/10176/21945/1
283,3,4,13,obtain,/əbˈteɪn/,get,v.获得,https://www.guixue.com/apps/word/corpus/10176/21945/1
284,3,4,14,odd,/ɒd/,strange,adj.古怪的,https://www.guixue.com/apps/word/corpus/10176/21945/1
285,3,4,15,odour,/ˈəʊdə(r)/,smell,n.气味,https://www.guixue.com/apps/word/corpus/10176/21945/1
286,3,4,16,offensive,/əˈfensɪv/,hostile,adj.冒犯的，无礼的,https://www.guixue.com/apps/word/corpus/10176/21945/1
287,3,4,17,official,/əˈfɪʃ(ə)l/,authority,n.官员 adj.官方的,https://www.guixue.com/apps/word/corpus/10176/21945/1
288,3,4,18,optimum,/ˈɒptɪməm/,best,n.最佳效果 adj.最适宜的,https://www.guixue.com/apps/word/corpus/10176/21945/1
289,3,4,19,ordinary,/ˈɔːd(ə)n(ə)rɪ/,common,adj.普通的；平凡的；平常的,https://www.guixue.com/apps/word/corpus/10176/21945/1
290,3,4,20,organ,/ˈɔːɡən/,a part of a body,n.器官；机构,https://www.guixue.com/apps/word/corpus/10176/21945/1
291,3,4,21,out of the question,,impossible,不可能,https://www.guixue.com/apps/word/corpus/10176/21945/1
292,3,4,22,overcome,/ˌəʊvəˈkʌm/,defeat,v.克服,https://www.guixue.com/apps/word/corpus/10176/21945/1
293,3,4,23,overtake,/ˌəʊvəˈteɪk/,surpass,v.赶上,https://www.guixue.com/apps/word/corpus/10176/21945/1
294,3,4,24,paralyse,/ˈpærəlaɪz/,cannot move,v.使……麻痹；使…… 瘫痪,https://www.guixue.com/apps/word/corpus/10176/21945/1
295,3,4,25,paramount,/ˈpærəmaʊnt/,principal,adj. 最重要的，主要的,https://www.guixue.com/apps/word/corpus/10176/21945/1
296,3,4,26,participate,/pɑːˈtɪsɪpeɪt/,join,v.参加,https://www.guixue.com/apps/word/corpus/10176/21945/1
297,3,4,27,patient,/ˈpeɪʃ(ə)nt/,repetitive,adj.有耐性的，能容忍的 n.病人；患者,https://www.guixue.com/apps/word/corpus/10176/21945/1
298,3,4,28,peak,/piːk/,top,n.最高峰，顶点 v.使……达到顶峰,https://www.guixue.com/apps/word/corpus/10176/21945/1
299,3,4,29,permit,/pəˈmɪt/,allow,n.许可证，执照 v.许可,https://www.guixue.com/apps/word/corpus/10176/21945/1
300,3,4,30,persuade,/pəˈsweɪd/,influence,v.说服，劝说,https://www.guixue.com/apps/word/corpus/10176/21945/1
301,3,4,31,pessimistic,/ˌpesɪˈmɪstɪk/,negative,adj.悲观的,https://www.guixue.com/apps/word/corpus/10176/21945/1
302,3,4,32,phase,/feɪz/,process,n.阶段,https://www.guixue.com/apps/word/corpus/10176/21945/1
303,3,4,33,physical,/ˈfɪzɪk(ə)l/,body,adj.身体上的；物质的,https://www.guixue.com/apps/word/corpus/10176/21945/1
304,3,4,34,plagiarise,/ˈpleɪdʒəraɪz/,copy,v. 抄袭,https://www.guixue.com/apps/word/corpus/10176/21945/1
305,3,4,35,plenty of,,many,大量的,https://www.guixue.com/apps/word/corpus/10176/21945/1
306,3,4,36,plot,/plɒt/,plan,v.密谋,https://www.guixue.com/apps/word/corpus/10176/21945/1
307,3,4,37,pose,/pəʊz/,cause,v.提出，造成，形成,https://www.guixue.com/apps/word/corpus/10176/21945/1
308,3,4,38,portable,/ˈpɔːtəb(ə)l/,conveyable,adj.可携带的,https://www.guixue.com/apps/word/corpus/10176/21945/1
309,3,4,39,poverty,/ˈpɒvəti/,poor,n.贫穷,https://www.guixue.com/apps/word/corpus/10176/21945/1
310,3,4,40,praise,/preɪz/,commend,n.赞扬,https://www.guixue.com/apps/word/corpus/10176/21945/1
311,3,4,41,predict,/prɪˈdɪkt/,expect,v. 预测，预知,https://www.guixue.com/apps/word/corpus/10176/21945/1
312,3,4,42,pressing,/ˈpresɪŋ/,urgent,adj. 迫切的,https://www.guixue.com/apps/word/corpus/10176/21945/1
313,3,4,43,private,/ˈpraɪvət/,personal,adj.私人的；私有的；私下的,https://www.guixue.com/apps/word/corpus/10176/21945/1
314,3,4,44,prohibit,/prəˈhɪbɪt/,not allowed,v.禁止的,https://www.guixue.com/apps/word/corpus/10176/21945/1
315,3,4,45,prolong,/prəˈlɒŋ/,extend,v.拉长，延长,https://www.guixue.com/apps/word/corpus/10176/21945/1
316,3,4,46,promote,/prəˈməʊt/,improve,v.促进，推销,https://www.guixue.com/apps/word/corpus/10176/21945/1
317,3,4,47,prosper,/ˈprɒspə(r)/,success,v. 使成功，使繁荣,https://www.guixue.com/apps/word/corpus/10176/21945/1
318,3,4,48,purify,/ˈpjʊərɪfaɪ/,clean,v.净化,https://www.guixue.com/apps/word/corpus/10176/21945/1
319,3,4,49,qualify,/ˈkwɒlɪfaɪ/,fulfill,v.取得资格,https://www.guixue.com/apps/word/corpus/10176/21945/1
320,3,4,50,radical,/ˈrædɪk(ə)l/,utmost,adj.彻底的，根本的,https://www.guixue.com/apps/word/corpus/10176/21945/1
321,3,5,1,range,/reɪndʒ/,scope,n.范围；幅度,https://www.guixue.com/apps/word/corpus/10176/21946/1
322,3,5,2,rare,/reə(r)/,unusual,adj.稀有的,https://www.guixue.com/apps/word/corpus/10176/21946/1
323,3,5,3,rate,/reɪt/,rank；measure,n.等级 v.评估,https://www.guixue.com/apps/word/corpus/10176/21946/1
324,3,5,4,react,/riˈækt/,respond,v.反应,https://www.guixue.com/apps/word/corpus/10176/21946/1
325,3,5,5,recreation,/ˌriːkrɪˈeɪʃn; ˌrekrɪˈeɪʃən/,entertainment,n.娱乐，消遣,https://www.guixue.com/apps/word/corpus/10176/21946/1
326,3,5,6,reduction,/rɪˈdʌkʃ(ə)n/,decrease,n.下降，减少,https://www.guixue.com/apps/word/corpus/10176/21946/1
327,3,5,7,refer to,,talk about,指(的是)，涉及，提及,https://www.guixue.com/apps/word/corpus/10176/21946/1
328,3,5,8,rehearsal,/rɪˈhɜːs(ə)l/,preparation,n.排演；预演；练习,https://www.guixue.com/apps/word/corpus/10176/21946/1
329,3,5,9,reject,/rɪˈdʒekt/,exclude,v.拒绝，排斥，丢弃,https://www.guixue.com/apps/word/corpus/10176/21946/1
330,3,5,10,relevant,/ˈreləvənt/,relative,adj.相关的,https://www.guixue.com/apps/word/corpus/10176/21946/1
331,3,5,11,religious,/rɪˈlɪdʒəs/,sacred,adj.宗教的；虔诚的,https://www.guixue.com/apps/word/corpus/10176/21946/1
332,3,5,12,reluctant,/rɪˈlʌktənt/,unwilling,adj.不情愿的,https://www.guixue.com/apps/word/corpus/10176/21946/1
333,3,5,13,reproduce,/ˌriːprəˈdjuːs/,breed,v.繁殖,https://www.guixue.com/apps/word/corpus/10176/21946/1
334,3,5,14,responsible,/rɪˈspɒnsəb(ə)l/,liable,adj.负责的，可靠的；有责任的,https://www.guixue.com/apps/word/corpus/10176/21946/1
335,3,5,15,revision,/rɪˈvɪʒ(ə)n/,editing,n.修正,https://www.guixue.com/apps/word/corpus/10176/21946/1
336,3,5,16,revive,/rɪˈvaɪv/,renaissance,v.使复苏，恢复,https://www.guixue.com/apps/word/corpus/10176/21946/1
337,3,5,17,ruin,/ˈruːɪn/,destroy,v.毁灭,https://www.guixue.com/apps/word/corpus/10176/21946/1
338,3,5,18,scenic,/ˈsiːnɪk/,beautiful,adj. 风景优美的,https://www.guixue.com/apps/word/corpus/10176/21946/1
339,3,5,19,shade,/ʃeɪd/,shelter,n.遮阳；阴影,https://www.guixue.com/apps/word/corpus/10176/21946/1
340,3,5,20,skepticism,/ˈskeptɪsɪzəm/,doubt,n.怀疑,https://www.guixue.com/apps/word/corpus/10176/21946/1
341,3,5,21,soar,/sɔː(r)/,increase,v.激增,https://www.guixue.com/apps/word/corpus/10176/21946/1
342,3,5,22,solely,/ˈsəʊlli/,alone,ad.唯一地,https://www.guixue.com/apps/word/corpus/10176/21946/1
343,3,5,23,solicitor,/səˈlɪsɪtə(r)/,lawyer,n.律师,https://www.guixue.com/apps/word/corpus/10176/21946/1
344,3,5,24,steer,/stɪə(r)/,manage,v.控制，引导,https://www.guixue.com/apps/word/corpus/10176/21946/1
345,3,5,25,stimulate,/ˈstɪmjuleɪt/,motivate,v.刺激，激励,https://www.guixue.com/apps/word/corpus/10176/21946/1
346,3,5,26,stride,/straɪd/,progress,n.进展,https://www.guixue.com/apps/word/corpus/10176/21946/1
347,3,5,27,succumb,/səˈkʌm/,yield,vi.屈服,https://www.guixue.com/apps/word/corpus/10176/21946/1
348,3,5,28,subdivide,/ˈsʌbdɪvaɪd/,break down,v.把……细分,https://www.guixue.com/apps/word/corpus/10176/21946/1
349,3,5,29,subtle,/ˈsʌt(ə)l/,delicate,adj. 微妙的,https://www.guixue.com/apps/word/corpus/10176/21946/1
350,3,5,30,substance,/ˈsʌbstəns/,matter,n.物质；实质,https://www.guixue.com/apps/word/corpus/10176/21946/1
351,3,5,31,sufficiency,/səˈfɪʃ(ə)nsi/,enough,n. 足量，充足,https://www.guixue.com/apps/word/corpus/10176/21946/1
352,3,5,32,supersede,/ˌsuːpəˈsiːd/,replace,v. 取代，代替,https://www.guixue.com/apps/word/corpus/10176/21946/1
353,3,5,33,suppress,/səˈpres/,hold,v.抑制，隐瞒,https://www.guixue.com/apps/word/corpus/10176/21946/1
354,3,5,34,supremacy,/suːˈpreməsi; sjuːˈpreməsi/,priority,n. 至高无上，很高的地位,https://www.guixue.com/apps/word/corpus/10176/21946/1
355,3,5,35,suspicious,/səˈspɪʃəs/,odd,adj.可疑的,https://www.guixue.com/apps/word/corpus/10176/21946/1
356,3,5,36,sustainable,/səˈsteɪnəb(ə)l/,long-term,adj.可持续的,https://www.guixue.com/apps/word/corpus/10176/21946/1
357,3,5,37,symptom,/ˈsɪmptəm/,sign,n.症状;征兆,https://www.guixue.com/apps/word/corpus/10176/21946/1
358,3,5,38,tension,/ˈtenʃ(ə)n/,upset,n.紧张，不安,https://www.guixue.com/apps/word/corpus/10176/21946/1
359,3,5,39,term,/tɜːm/,word,n.术语,https://www.guixue.com/apps/word/corpus/10176/21946/1
360,3,5,40,throughout,/θruːˈaʊt/,anywhere,adv.自始至终，到处；全部,https://www.guixue.com/apps/word/corpus/10176/21946/1
361,3,5,41,toll,/təʊl/,charge,n.通行费 v.征收,https://www.guixue.com/apps/word/corpus/10176/21946/1
362,3,5,42,trace,/treɪs/,track,n.追溯；痕迹,https://www.guixue.com/apps/word/corpus/10176/21946/1
363,3,5,43,transcend,/trænˈsend/,excel,v. 胜过，超越,https://www.guixue.com/apps/word/corpus/10176/21946/1
364,3,5,44,transit,/ˈtrænzɪt/,send,n. 运输；经过 v. 运送,https://www.guixue.com/apps/word/corpus/10176/21946/1
365,3,5,45,tremendous,/trəˈmendəs/,vast,adj.巨大的，惊人的,https://www.guixue.com/apps/word/corpus/10176/21946/1
366,3,5,46,trigger,/ˈtrɪɡə(r)/,begin,n.触发，引发，引起,https://www.guixue.com/apps/word/corpus/10176/21946/1
367,3,5,47,tropical,/ˈtrɒpɪk(ə)l/,hot,adj. 热带的,https://www.guixue.com/apps/word/corpus/10176/21946/1
368,3,5,48,unbiased,/ʌnˈbaɪəst/,fair,adj. 公正的，无偏见的,https://www.guixue.com/apps/word/corpus/10176/21946/1
369,3,5,49,uniform,/ˈjuːnɪfɔːm/,consistent,adj.始终如一的,https://www.guixue.com/apps/word/corpus/10176/21946/1
370,3,5,50,valuable,/ˈvæljuəb(ə)l/,benefit,adj.宝贵的，有价值的,https://www.guixue.com/apps/word/corpus/10176/21946/1
371,3,5,51,versatile,/ˈvɜːsətaɪl/,all-around,adj.多功能,https://www.guixue.com/apps/word/corpus/10176/21946/1
372,3,5,52,view,/vjuː/,overlook,v.看,https://www.guixue.com/apps/word/corpus/10176/21946/1
373,3,5,53,violent,/ˈvaɪələnt/,fierce,adj.暴力的；猛烈的,https://www.guixue.com/apps/word/corpus/10176/21946/1
374,3,5,54,visible,/ˈvɪzəb(ə)l/,see,adj.明显的，看得见的,https://www.guixue.com/apps/word/corpus/10176/21946/1
375,3,5,55,visual,/ˈvɪʒuəl/,image,adj.视觉的,https://www.guixue.com/apps/word/corpus/10176/21946/1
376,3,5,56,well-being,/ˈwel biːɪŋ/,health,n.健康，康乐,https://www.guixue.com/apps/word/corpus/10176/21946/1
